aperto abbazia
vocabolario aperto abbazia
documentazione esame
documentazione esame intervento
esame intervento
legno legno legno
metallo metallo metallo
punzone sigla
unità cartografica
spazio viabilistico
collocazione specifica
numero di foglio
campi semplici
scientifico funzionario
scientifico funzionario responsabile
numeri di catalogo generale
stato estero
tipo relazione
analisi iconografica
obbligatorietà assoluta alternativa
carattere redazionale
condizione giuridico-amministrativa
deposito donazione
note di carattere redazionale
diverse occorrenze
sede di realizzazione
analisi diagnostiche analisi
diagnostiche analisi
positivo b
singoli codici identificativi
comunità ebraica
detenzione mista privata
detenzione privata
detenzione privata detenzione
territoriale detenzione privata
post inizio fine
nome in lingua straniera
ecclesiastica proprietà mista
ecclesiastica proprietà mista privata
privata proprietà mista
privata proprietà mista pubblica
proprietà mista privata
proprietà privata proprietà
pubblico territoriale proprietà
territoriale proprietà privata
sede di rinvenimento
arco di secoli
documenti editi
documentazione grafica
numero di catalogo
ampiezza superiore
campo con la locuzione
cartografia con sopralluogo
cartografia con sopralluogo rilievo
cartografia senza sopralluogo
cartografia senza sopralluogo rilievo
chilometro di riferimento
denominazione con eventuali specifiche
denominazioni bilingui
ecclesiastica detenzione mista
ecclesiastica detenzione mista privata
pubblico territoriale detenzione
religioso cattolico detenzione
chiuso documentazione
vocabolario chiuso documentazione
documento originario completo
enti religiosi di confessione
enti religiosi di confessione cattolica
esame intervento firma
intervento firma
foto aerea con sopralluogo
foto aerea con sopralluogo rilievo
foto aerea senza sopralluogo
foto aerea senza sopralluogo rilievo
paragrafo cd-codici
chiuso proprietà
religioso cattolico proprietà
vocabolario chiuso proprietà
scientifica funzionario responsabile
rilievo tradizionale rilievo
trigonometrici stereofotogrammetria
valori identificativi
verifica scientifica funzionario
uso compravendita
post inizio
sede di provenienza
strutturazione complessa
relazione con il bene
seguito di atto
trattamento tecnico
bibliografia bollo confronto
bollo confronto
privata detenzione mista
privata detenzione mista pubblica
foglio di appartenenza
livello di precatalogo
bibliografiche notizie
notizie bibliografiche notizie
archivio opere pubbliche
opere pubbliche opere
opere pubbliche opere private
pubbliche opere
pubbliche opere private
quarto terzo quarto ultimo
terzo quarto ultimo
terzo quarto ultimo quarto
chiuso rilievo
vocabolario chiuso rilievo
punzone sigla simbolo
standard obsoleti
parte residuale
caso di schede
percorsi moderni
rilievo tradizionale
singoli codici
eventuali codici
supporto audio
analisi diagnostiche analisi iconografica
analisi storica analisi
diagnostiche analisi iconografica
storica analisi
appoggio fiduciari
campi strutturati
film super
immissione in patrimonio
iscrizione marchio
modalità descrittiva
agricoli notizie
agricoli notizie bibliografiche
lavori agricoli notizie
lavori agricoli notizie bibliografiche
parti residuali
prospezione subacquea
ripartizione catastale
supporti consecutivi
terzo quarto ultimo
video super
persona giuridica straniera
quarto ultimo
tradizionale rilievo
confessione cattolica
trattamento catalografico
unica scheda
generica indicazione
analisi stilistica
documento originario
operazioni di recupero
beni demoetnoantropologici materiali
denominazioni con virgole
occasione di attività
opere private prospezione
opere private prospezione subacquea
private prospezione
private prospezione subacquea
eventuali specifiche relative
quarto terzo
quarto terzo quarto
quarto terzo quarto ultimo
unità cartografica catastale
archivio opere
indirizzo di rete
bene in modo
formati previsti
carattere maiuscolo
terzo quarto
caso di beni
condizione giuridica
rinvenimento fortuito
titolo proprio
fascia cronologica di riferimento
luogo di fabbricazione
medesimo codice univoco
compilazione alternativa
mutamenti condizione
confronto contesto
recupero dati pregressi
specifiche fascia
specifiche fascia cronologica
insieme di dati indispensabili
esplicative livello
livello basso di riservatezza
livello medio di riservatezza
note esplicative livello
fisica luogo
localizzazione fisica luogo
modello di scheda previsto
appendice i note
i note
operazioni di recupero dati pregressi
ordine progressivo relativo
quarto ca
quarto ultimo quarto ca
ultimo quarto ca
realtà nazionali
scadenza per il profilo
scheda previsto
scheda previsto per il bene
funzionario responsabile
tipologia di documentazione
caso di aggiornamento
seguenti precisazioni
sistemi esterni
documenti multimediali
prima elaborazione
data finale
tipo di documentazione
codice identificativo
note di carattere
dati di georeferenziazione
caso di cartografia
caso di cartografia storica
obbligatorio elemento
ente competente per tutela
indicazioni geografico-amministrative
inventario patrimoniale
indagine territoriale lavori
indagine territoriale lavori agricoli
territoriale lavori
territoriale lavori agricoli
livello alto di riservatezza
inizio metà
modalità di schedatura
notazione internazionale
eventuali notizie supplementari
notizie supplementari
diversa occorrenza
varie realtà
varie realtà nazionali
eventuale riassestamento
scheda aggiornato
schede per le parti
seguito di atto giudiziario
valori numerici progressivi
volume in numeri romani
codici identificativi
analisi diagnostiche
nota manoscritta
coppie di coordinate
siti sommersi
denominazione antica
eventuali successive operazioni
riferimento geodetici
sistemi di riferimento geodetici
specifiche disponibili
negativo b
canonica cappella
canonica cappella casa
cappella casa
catalogatore sovrascriverli
castello chiesa
codice univoco nazionale
entità diverse
metri esempio
metri metri esempio
periodo specifiche fascia
periodo specifiche fascia cronologica
fonte di rappresentazione
marchio monogramma
modalità di individuazione
monastero oratorio
nome operatore
obbligatorietà assolute
periodo specifiche
posti in ambito extraurbano
restituzione postbellica
riprese generali
scelta di tale profilo
fortuito sequestro
ritrovamento fortuito sequestro
tipo di provvedimento amministrativo
valenza per la storia
visibilità completa
scheda stessa
modelli cartacei
persona singola
fogli catastali
collocazione fisica
tale codice
tipologie di beni
appendice i
analisi tipologica
provvedimento di tutela
intervento in corso
eventuale numero
posti in ambito
numeri romani
date di scadenza previste
esercizio di diritto
tiff ecc
aperto archeologia
aperto archeologia preventiva
bene di proprietà
bene di proprietà privata
bene schedato
precedente campo
caso di collezioni
chilometro di riferimento ecc
lucro detenzione
soggetto fonte
iscrizione marchio monogramma
metodologie catalografiche
necessità legate
marchio monogramma nota
marchio monogramma nota manoscritta
monogramma nota
monogramma nota manoscritta
detenzione persona
detenzione persona giuridica
ecclesiastica detenzione persona
ecclesiastica detenzione persona giuridica
ecclesiastica proprietà persona
